时间,PE-TTM(加权平均值),PE温度,PB(加权平均值),PB温度,指数温度
2019/4/19,13.4469,,1.6024,,
2019/4/12,13.0067,23.97500611,1.5555,23.97500611,23.97500611
2019/4/4,13.2681,54.94876363,1.5854,57.1855298,56.06714671
2019/3/29,12.6525,10.06531353,1.5254,10.91443385,10.48987369
2019/3/22,12.4986,11.71459255,1.5342,21.11840111,16.41649683
2019/3/15,12.2413,9.517357768,1.5086,11.61537674,10.56636726
2019/3/8,12.0444,9.319391209,1.4829,8.022526277,8.670958743
2019/3/1,12.4113,28.38871994,1.5274,37.22859663,32.80865829
2019/2/22,11.6524,5.543011936,1.4338,3.21442949,4.378720713
2019/2/15,11.1495,3.509706888,1.3718,2.070714865,2.790210877
2019/2/1,10.9476,4.738122763,1.3485,3.459159343,4.098641053
2019/1/25,10.7368,5.451102305,1.3225,4.243872016,4.84748716
2019/1/18,10.661,7.193774762,1.3132,6.008732618,6.60125369
2019/1/11,10.4284,6.822598812,1.2845,5.684300124,6.253449468
2019/1/4,10.2881,7.424495017,1.2672,6.32698071,6.875737864
2018/12/28,10.2242,8.679743151,1.2594,7.62319928,8.151471216
2018/12/21,10.2839,11.3680171,1.2667,10.38193116,10.87497413
2018/12/14,10.5782,18.47386863,1.2921,15.98539345,17.22963104
2018/12/7,10.6096,20.31960729,1.2963,18.04088657,19.18024693
2018/11/30,10.5665,20.27708734,1.292,18.28389859,19.28049297
2018/11/23,10.4991,19.61469303,1.2838,17.68983383,18.65226343
2018/11/16,10.8207,29.25368973,1.3231,27.78955308,28.5216214
2018/11/9,10.6276,24.15244313,1.2994,22.42511937,23.28878125
2018/11/2,11.0371,37.81110905,1.3496,37.01203005,37.41156955
2018/10/26,10.9153,33.83052451,1.3668,42.79892009,38.3147223
2018/10/19,10.7431,28.43689213,1.3631,41.70466939,35.07078076
2018/10/12,10.8722,33.25237335,1.3796,47.52000704,40.3861902
2018/9/28,11.6693,64.01368477,1.4807,79.52974766,71.77171622
2018/9/21,11.5508,59.24484373,1.4662,75.04371019,67.14427696
2018/9/14,10.965,35.70082555,1.3908,49.39324846,42.547037
2018/9/7,11.0149,37.88471921,1.3959,51.27118741,44.57795331
2018/8/31,11.174,44.57797611,1.4153,58.41540049,51.4966883
2018/8/24,11.3956,54.09263275,1.4317,64.22075408,59.15669341
2018/8/17,11.1126,41.82816585,1.3924,49.22447128,45.52631856
2018/8/10,11.733,68.43090738,1.4624,74.58344229,71.50717483
2018/8/3,11.4706,57.14502457,1.4285,62.45115519,59.79808988
2018/7/27,12.0258,78.79870213,1.4968,83.70982544,81.25426379
2018/7/20,11.8852,73.4199615,1.478,78.0898463,75.7549039
2018/7/13,11.9038,73.74751636,1.4701,75.22735519,74.48743577
2018/7/6,11.5247,57.47834123,1.4096,52.38805024,54.93319574
2018/6/29,11.8947,73.15139028,1.4624,72.53738473,72.84438751
2018/6/22,12.229,83.96742305,1.5009,83.6164204,83.79192172
2018/6/15,12.6861,93.07275462,1.5531,92.90175592,92.98725527
2018/6/8,12.5891,90.71193033,1.5181,85.97846463,88.34519748
2018/6/1,12.6312,90.81107713,1.5152,84.73771163,87.77439438
2018/5/25,12.8275,93.31521129,1.538,88.97339912,91.1443052
2018/5/18,13.1937,96.6013468,1.5768,94.07578125,95.33856402
2018/5/11,13.0801,94.87097393,1.5628,91.56646984,93.21872189
2018/5/4,12.7315,88.89700583,1.5206,82.57933848,85.73817215
2018/4/27,12.8363,90.28309652,1.5363,85.77897344,88.03103498
2018/4/20,12.9912,92.2166413,1.5522,88.47104417,90.34384273
2018/4/13,13.3767,96.03669565,1.5966,94.31804178,95.17736871
2018/4/4,13.2815,94.5097249,1.5826,91.98626452,93.24799471
2018/3/30,13.5061,96.056613,1.6089,94.54095712,95.29878506
2018/3/23,13.8839,97.89280116,1.6443,96.83711125,97.3649562
2018/3/16,14.3157,98.9460491,1.6953,98.62242264,98.78423587
2018/3/9,14.6532,99.28881839,1.7223,98.93805757,99.11343798
2018/3/2,14.4291,98.38520092,1.6961,97.65718086,98.02119089
2018/2/23,14.7491,98.87653201,1.7354,98.59675829,98.73664515
2018/2/14,14.3336,96.89722129,1.6865,95.91608399,96.40665264
2018/2/9,13.9988,93.95515847,1.648,91.9472683,92.95121339
2018/2/2,15.6339,99.604805,1.8406,99.6578708,99.6313379
2018/1/26,15.8583,99.58324679,1.8688,99.66414976,99.62369828
2018/1/19,15.4373,98.69585917,1.8195,98.77661917,98.73623917
2018/1/12,14.9452,96.56913397,1.7616,96.37985822,96.4744961
2018/1/5,14.6526,94.28185101,1.7272,93.67475931,93.97830516
2017/12/29,14.2999,90.57552768,1.6857,89.09992651,89.8377271
2017/12/22,14.2259,89.2854595,1.6825,88.2820128,88.78373615
2017/12/15,13.9651,85.37345779,1.6517,83.51134688,84.44240234
2017/12/8,14.0141,85.73028044,1.6571,84.02008954,84.87518499
2017/12/1,14.0223,85.48690867,1.6583,83.86753084,84.67721976
2017/11/24,14.3699,89.68213428,1.7,89.21808493,89.45010961
2017/11/17,14.3495,89.03687289,1.6976,88.5306071,88.78374
2017/11/10,14.3186,88.26507886,1.694,87.69328797,87.97918342
2017/11/3,14.0978,84.8418102,1.669,83.77679587,84.30930303
2017/10/27,14.4205,88.87332774,1.7415,92.27277995,90.57305385
2017/10/20,14.4193,88.48388266,1.7375,91.48946703,89.98667485
2017/10/13,14.342,87.12712089,1.7276,90.0774229,88.6022719
2017/9/29,14.1303,83.71757774,1.702,86.60155713,85.15956744
2017/9/22,14.1347,83.48953506,1.7032,86.42935691,84.95944598
2017/9/15,14.0373,81.60446345,1.6925,84.59290103,83.09868224
2017/9/8,14.1023,82.42659322,1.7001,85.39003604,83.90831463
2017/9/1,14.0821,81.81910473,1.6981,84.79566167,83.3073832
2017/8/25,14.3899,86.29782052,1.7124,86.49994893,86.39888473
2017/8/18,14.0143,79.99936666,1.6736,80.23060667,80.11498667
2017/8/11,13.7852,75.38998223,1.6455,74.75877459,75.07437841
2017/8/4,14.0468,80.20070011,1.677,80.44637464,80.32353737
